800204	555221	1	2	5	4	1	2	1	4	2	1	2	2	2	1	1	5	3	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3	1	2	4	1	5	1	2	1	1	2	2	2	1	1	5	1	1	2	5	7	7	1	6	6	6	7	5	7	7	7	7	2	0	0	0	0	71	2	0	3	2	1	0	2.1768984	4.73888664392256	0	0	4	0	3
800228	568560	2	2	2	4	2	2	2	3	3	2	3	3	3	2	2	2	2	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	2	2	2	2	2	2	2	3	2	3	2	3	3	2	2	2	1	5	6	6	6	5	5	5	6	5	4	5	5	5	5	4	0	0	0	0	60	4	2	6	6	0	0	1.0768984	1.15971016392256	1	2	6	2	6
800244	503741	3	3	3	2	2	2	2	3	4	3	4	3	2	3	4	4	4	3	3	2	3	4	2	2	2	2	3	2	3	3	4	4	4	4	4	2	3	4	2	3	2	2	2	3	4	4	3	3	4	2	4	3	4	2	1	1	1	3	1	2	2	2	4	3	1	2	2	3	3	0	0	1	1	57	4	2	6	5	1	0	.7768984	.603571123922561	1	2	6	2	6
800274	523678	3	2	4	4	3	2	2	2	2	2	4	4	2	3	2	2	4	4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	4	4	4	4	4	4	3	3	4	3	4	5	3	0	0	0	0	33	3	1	3	4	1	1	-1.6231016	2.63445880392256	1	1	3	1	3
800289	539959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	2	5	1	2	2	3	2	2	3	1	3	1	1	1	1	3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	5	7	6	4	1	6	7	7	6	2	6	7	6	5	1	0	0	0	0	59	1	0	5	2	0	1	.9768984	.954330483922561	1	0	3	0	3
800360	547378	2	3	2	2	2	2	2	3	4	2	2	2	3	2	3	2	3	2	2	2	4	2	2	2	3	2	3	2	2	2	4	2	3	3	3	2	2	2	4	2	2	2	2	3	3	2	2	3	4	2	2	4	2	2	5	4	6	5	5	5	6	6	6	5	5	3	6	6	6	0	0	0	0	60	2	0	5	5	1	0	1.0768984	1.15971016392256	0	0	5	0	5
800372	563195	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4	3	3	3	3	2	2	2	2	3	3	2	3	2	4	3	4	4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4	5	4	4	3	4	4	4	4	4	5	5	5	5	5	0	0	0	0	22	2	1	1	2	0	0	-2.7231016	7.41528232392256	0	1	3	-999	-999
800384	546362	1	1	5	1	1	5	5	5	5	1	1	1	5	5	1	5	1	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	5	5	5	4	4	5	6	6	6	6	-999	-999	-999	-999	-999	0	0	0	0	18	4	2	0	1	0	1	-3.1231016	9.75376360392256	0	2	1	-999	-999
800393	583645	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3	3	4	2	2	4	2	3	3	2	3	2	3	2	3	3	4	3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	5	5	6	6	6	6	5	6	5	5	-999	-999	-999	-999	-999	0	0	0	0	48	4	2	5	2	1	0	-.1231016	.0151540039225599	1	2	5	2	5
800405	528805	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	5	5	5	4	3	5	6	4	4	4	-999	-999	-999	-999	-999	0	0	0	0	17	4	2	1	1	0	0	-3.2231016	10.3883839239226	0	2	1	1	1
800418	514532	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4	4	2	4	2	2	2	2	4	4	4	4	2	2	4	2	4	2	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	0	0	0	17	3	2	0	4	0	1	-3.2231016	10.3883839239226	0	2	0	1	0
800424	504037	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	2	2	4	3	2	2	3	5	2	3	2	2	4	4	4	4	4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3	3	4	5	4	-999	-999	-999	-999	-999	0	0	0	0	55	2	0	1	3	1	1	.5768984	.33281176392256	0	0	1	0	1
800430	591271	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	5	5	5	2	2	2	5	3	1	2	5	6	6	4	3	0	0	0	0	21	4	2	0	3	0	0	-2.8231016	7.96990264392256	0	2	0	2	0
800445	528967	4	2	3	2	2	2	2	3	3	1	3	2	3	3	4	4	4	4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	2	2	3	2	2	2	2	4	1	3	3	3	2	4	3	4	4	4	4	2	2	2	4	2	3	5	2	5	3	4	5	3	0	0	0	0	36	2	0	-999	4	0	1	-1.3231016	1.75059784392256	1	0	-999	2	-999
800497	542214	2	2	4	4	2	2	2	2	3	2	4	2	2	2	3	2	3	2	1	2	2	4	1	2	2	2	3	2	4	2	4	2	2	4	2	2	1	2	2	3	4	2	2	2	4	3	4	2	2	2	2	2	3	2	6	6	6	6	6	6	6	6	6	7	6	6	6	6	7	0	0	0	0	69	2	0	0	3	1	1	1.9768984	3.90812728392256	0	0	0	0	0
800500	519555	1	1	5	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	2	1	1	1	1	1	1	3	1	1	1	1	1	3	1	4	3	1	3	2	4	1	1	4	3	5	2	1	0	0	0	0	60	5	1	4	1	1	0	1.0768984	1.15971016392256	0	1	4	1	4
800503	550161	2	1	1	4	1	1	2	2	3	3	3	2	2	1	3	1	1	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3	1	2	3	2	2	2	2	3	1	3	2	2	2	3	3	2	2	2	5	6	6	6	4	3	6	4	6	5	5	6	5	6	0	0	0	0	67	1	0	4	6	0	1	1.7768984	3.15736792392256	0	0	4	0	4
800509	594003	3	3	4	3	2	3	2	2	2	2	4	3	2	2	2	3	1	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6	7	7	7	7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	0	0	0	47	4	2	9	6	1	1	-.2231016	.0497743239225599	1	2	9	2	9
